strat_id;date;protection;rendement;M1;C1
1;18/02/2006;10;-0.0061617600896;0,9897;0,0103
0;18/02/2006;0;-0.0061772148709;0,9925;0,0075
12;19/02/2006;100;5.55555556e-05;0;1
11;19/02/2006;95;0.0014109666867;0,3297;0,6703
10;19/02/2006;90;0.0016793330165;0,3907;0,6093
9;19/02/2006;85;0.0019089342247;0,4428;0,5572
8;19/02/2006;80;0.0021333228933;0,4937;0,5063
7;19/02/2006;70;0.0025783254122;0,5947;0,4053
6;19/02/2006;60;0.003021782972;0,6954;0,3046
5;19/02/2006;50;0.0034649520151;0,796;0,204
4;19/02/2006;40;0.0039082520383;0,8966;0,1034
3;19/02/2006;30;0.0043164869517;0,9893;0,0107
2;19/02/2006;20;0.0043182569599;0,9897;0,0103
1;19/02/2006;10;0.004319633633;0,9897;0,0103
0;19/02/2006;0;0.0043306470176;0,9925;0,0075
12;20/02/2006;100;0.0001666666667;0;1
11;20/02/2006;95;-0.0010291738521;0,3391;0,6609
10;20/02/2006;90;-0.0011826624668;0,3967;0,6033
9;20/02/2006;85;-0.001318471636;0,4477;0,5523
8;20/02/2006;80;-0.0014526659794;0,498;0,502
7;20/02/2006;70;-0.0017202248773;0,5983;0,4017
6;20/02/2006;60;-0.0019874360684;0,6986;0,3014
5;20/02/2006;50;-0.0022545680299;0,7988;0,2012
4;20/02/2006;40;-0.0025217091744;0,899;0,101
3;20/02/2006;30;-0.0027625058043;0,9893;0,0107
2;20/02/2006;20;-0.0027635769935;0,9897;0,0103
1;20/02/2006;10;-0.0027644101406;0,9897;0,0103
0;20/02/2006;0;-0.0027710753177;0,9925;0,0075
12;23/02/2006;100;5.55555556e-05;0;1
11;23/02/2006;95;-0.0001169860358;0,3323;0,6677
10;23/02/2006;90;-0.0001306243656;0,3924;0,6076
9;23/02/2006;85;-0.000142374463;0,4443;0,5557
8;23/02/2006;80;-0.0001538875895;0,4951;0,5049
7;23/02/2006;70;-0.0001767487374;0,5959;0,4041
6;23/02/2006;60;-0.0001995405046;0,6965;0,3035
5;23/02/2006;50;-0.0002223168735;0,797;0,203
4;23/02/2006;40;-0.0002450957821;0,8974;0,1026
3;23/02/2006;30;-0.0002659132713;0,9893;0,0107
2;23/02/2006;20;-0.0002660043462;0,9897;0,0103
1;23/02/2006;10;-0.0002660751822;0,9897;0,0103
0;23/02/2006;0;-0.0002666418704;0,9925;0,0075
12;24/02/2006;100;5.55555556e-05;0;1
11;24/02/2006;95;0.0007617024743;0,3315;0,6685
10;24/02/2006;90;0.0009082619649;0,392;0,608
9;24/02/2006;85;0.001034145649;0,4439;0,5561
8;24/02/2006;80;0.0011573697087;0,4948;0,5052
7;24/02/2006;70;0.0014019307176;0,5957;0,4043
6;24/02/2006;60;0.0016456956261;0,6963;0,3037
5;24/02/2006;50;0.0018892807449;0,7968;0,2032
4;24/02/2006;40;0.0021328909766;0,8973;0,1027
3;24/02/2006;30;0.0023558143673;0,9893;0,0107
2;24/02/2006;20;0.0023567880735;0,9897;0,0103
1;24/02/2006;10;0.0023575454006;0,9897;0,0103
0;24/02/2006;0;0.0023636040169;0,9925;0,0075
12;25/02/2006;100;5.55555556e-05;0;1
11;25/02/2006;95;-0.0005871973073;0,3366;0,6634
10;25/02/2006;90;-0.0006822983404;0,3952;0,6048
9;25/02/2006;85;-0.0007654643486;0,4466;0,5534
8;25/02/2006;80;-0.0008473555049;0,4971;0,5029
7;25/02/2006;70;-0.0010103504634;0,5976;0,4024
6;25/02/2006;60;-0.0011730032404;0,698;0,302
5;25/02/2006;50;-0.0013355651105;0,7983;0,2017
4;25/02/2006;40;-0.0014981190304;0,8986;0,1014
3;25/02/2006;30;-0.0016451340372;0,9893;0,0107
2;25/02/2006;20;-0.001645785265;0,9897;0,0103
1;25/02/2006;10;-0.0016462917754;0,9897;0,0103
0;25/02/2006;0;-0.001650343859;0,9925;0,0075
12;26/02/2006;100;5.55555556e-05;0;1
11;26/02/2006;95;-0.0014071349126;0,3327;0,6673
10;26/02/2006;90;-0.0016539427683;0,3928;0,6072
9;26/02/2006;85;-0.0018666313525;0,4446;0,5554
8;26/02/2006;80;-0.002075074735;0,4954;0,5046
7;26/02/2006;70;-0.0024890047219;0,5962;0,4038
6;26/02/2006;60;-0.0029016680623;0,6968;0,3032
5;26/02/2006;50;-0.0033140208842;0,7972;0,2028
4;26/02/2006;40;-0.0037263803793;0,8977;0,1023
3;26/02/2006;30;-0.0041023949066;0,9893;0,0107
2;26/02/2006;20;-0.0041040441193;0,9897;0,0103
1;26/02/2006;10;-0.0041053268403;0,9897;0,0103
0;26/02/2006;0;-0.0041155886084;0,9925;0,0075
12;27/02/2006;100;0.0001666666667;0;1
11;27/02/2006;95;-0.0011511981337;0,3233;0,6767
10;27/02/2006;90;-0.0013529275928;0,3868;0,6132
9;27/02/2006;85;-0.001521216388;0,4398;0,5602
8;27/02/2006;80;-0.0016843599636;0,4912;0,5088
7;27/02/2006;70;-0.0020065973145;0,5927;0,4073
6;27/02/2006;60;-0.0023271313218;0,6937;0,3063
5;27/02/2006;50;-0.0026472921502;0,7946;0,2054
4;27/02/2006;40;-0.0029675236649;0,8954;0,1046
3;27/02/2006;30;-0.0032654766164;0,9893;0,0107
2;27/02/2006;20;-0.0032667520807;0,9897;0,0103
1;27/02/2006;10;-0.0032677441085;0,9897;0,0103
0;27/02/2006;0;-0.003275680331;0,9925;0,0075
12;02/03/2006;100;0;0;1
11;02/03/2006;95;-0.0013018988472;0,3156;0,6844
10;02/03/2006;90;-0.0015756181117;0,3819;0,6181
9;02/03/2006;85;-0.0017984287936;0,4359;0,5641
8;02/03/2006;80;-0.0020125592896;0,4878;0,5122
7;02/03/2006;70;-0.002433647562;0,5899;0,4101
